序号,题名/检索任务,作者,刊名,年份,期次,页码,板块,文中“体/用”规定,体用关系命题,对党建论文的可迁移价值,阅读优先级,来源层级,核验/阅读深度,来源链接,使用状态
1,习近平文化思想的鲜明品格：明体达用、体用贯通,朱继东；李建鑫,浙江工商大学学报,2024,3,16-26,文化思想应用,体=基础性理论观点；用=文化工作布局,体用不二、守正创新,直接提供由文化思想迁移到党建思想的解释范式,可精读,CSSCI/核心（刊网标识）,摘要级,https://zjzf.cbpt.cnki.net/portal/journal/portal/client/paper/9ae9b5d693035af623f8f7665213f4ee,可直接进入文献综述
2,体用观视阈下习近平文化思想的知识体系框架及其理论实践意义,宋培军,西南民族大学学报（人文社会科学版）,2024,1,1-10,文化思想应用,体=知识体系根本规定；用=实践展开,以体摄用、由用显体,可借鉴知识体系—实践体系双层结构,可精读,核心（检索结果标识）,摘要级,https://doi.org/10.3969/j.issn.1004-3926.2024.01.001,可直接进入文献综述
3,习近平文化思想的体用观及其价值意义,谷生秀,广西大学学报（哲学社会科学版）,2026,2,15-24,文化思想应用,体=主体/本质/原则；用=功能/现象/方法,三组关系展开体用结构,适合转化为党建思想的主体—功能、属性—实践、原则—方法矩阵,优先精读,CSSCI（刊网标识）,摘要级,https://gxzd.cbpt.cnki.net/portal/journal/portal/client/paper/4240988fc990fd00883af1dcaefbb084,可直接进入文献综述
4,明体达用：习近平文化思想的实践路径探究,刘海鑫；胡剑,长征学刊,2024,4,30-39,文化思想应用,体=理论根基；用=实践路径,明体后达用,用于提炼党建实践路径，但刊物层级需复核,补充阅读,待CSSCI复核,摘要级,https://www.cnki.net,可直接进入文献综述
5,“明体”赋能“达用”实现体用贯通——习近平文化思想对中华优秀传统文化的阐释与弘扬,崔会敏；刘金霞,唐山师范学院学报,2025,1,,文化思想应用,体=优秀传统文化本质；用=弘扬功能,原则—方法—途径贯通,可借鉴为党建思想的原则、方法、途径三层分析,补充阅读,非CSSCI/待核,摘要级,https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CJFD&dbname=CJFD2025&filename=THSF202501001,可直接进入文献综述
6,体用贯通：国际传播学自主知识体系的建构逻辑与学科交叉进路,张莉；汪司晨,新闻与写作,2026,,,学科应用,体=自主知识体系；用=学科交叉与传播实践,体用贯通作为知识生产逻辑,说明体用范式可跨领域迁移，也提示防止概念泛化,比较阅读,中文核心,摘要级,https://www.cnki.net,可直接进入文献综述
7,从“体用一源，显微无间”看程颐理学的精神,彭耀光,东岳论丛,2011,8,45-49,概念源流,体=理/心性本体；用=事/道德行事,理事一体、显微无间,“体用一源”直接概念源头，必须精读,必读,CSSCI/核心（刊网标识）,摘要级,https://dylc.cbpt.cnki.net/portal/journal/portal/client/paper/d2050d1190d0ed443d7a6cf418291128,可直接进入文献综述
8,“明体达用”的宋学精神——从思维逻辑层面兼论汉、宋学之别,郑伟,东岳论丛,2014,9,145-149,概念源流,体=道；用=人事,以体制用、以用观体,可转为党建思想中根本规定与治理效能的双向阐释,必读,CSSCI/核心（刊网标识）,摘要级,https://dylc.cbpt.cnki.net/portal/journal/portal/client/paper/38e9abae4fd64716425553523647f688,可直接进入文献综述
9,“体用”“体相用”概念起源再考,张文良,哲学研究,2023,10,48-55+128-129,概念源流,辨析体用与体相用的佛教思想来源,体用相即更适合表达辩证关系,可用于处理“源自传统”与“现代重构”的边界,必读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/5aabd96786c3cb804b8d23b6cc197862,可直接进入文献综述
10,体用之辩与古今中西之争,杨国荣,哲学研究,2014,2,36-42+127-128,概念史/近代转化,体用连接本末、有无及古今中西,反对将体用凝固为主从二分,可为党建思想体用解释设置现代性边界,必读,CSSCI/核心,摘要级,https://zxyj.cbpt.cnki.net/portal/journal/portal/client/paper/ea4a68315c4d3e9c4e4ba43808f04689,可直接进入文献综述
